date,location,new_cases,new_deaths,total_cases,total_deaths
2020-02-25,Afghanistan,0.0,0.0,1.0,0.0
2020-02-26,Afghanistan,0.0,0.0,1.0,0.0
2020-02-27,Afghanistan,0.0,0.0,1.0,0.0
2020-02-28,Afghanistan,0.0,0.0,1.0,0.0
2020-02-29,Afghanistan,0.0,0.0,1.0,0.0
2020-03-01,Afghanistan,0.0,0.0,1.0,0.0
2020-03-02,Afghanistan,0.0,0.0,1.0,0.0
2020-03-03,Afghanistan,0.0,0.0,1.0,0.0
2020-03-04,Afghanistan,0.0,0.0,1.0,0.0
2020-03-05,Afghanistan,0.0,0.0,1.0,0.0
2020-03-06,Afghanistan,0.0,0.0,1.0,0.0
2020-03-07,Afghanistan,0.0,0.0,1.0,0.0
2020-03-08,Afghanistan,3.0,0.0,4.0,0.0
2020-03-09,Afghanistan,0.0,0.0,4.0,0.0
2020-03-10,Afghanistan,0.0,0.0,4.0,0.0
2020-03-11,Afghanistan,0.0,0.0,4.0,0.0
2020-03-12,Afghanistan,3.0,0.0,7.0,0.0
2020-03-13,Afghanistan,0.0,0.0,7.0,0.0
2020-03-14,Afghanistan,0.0,0.0,7.0,0.0
2020-03-15,Afghanistan,3.0,0.0,10.0,0.0
2020-03-16,Afghanistan,6.0,0.0,16.0,0.0
2020-03-09,Albania,0.0,0.0,2.0,0.0
2020-03-10,Albania,0.0,0.0,2.0,0.0
2020-03-11,Albania,8.0,0.0,10.0,0.0
2020-03-12,Albania,0.0,0.0,10.0,0.0
2020-03-13,Albania,13.0,0.0,23.0,0.0
2020-03-14,Albania,10.0,0.0,33.0,1.0
2020-03-15,Albania,5.0,0.0,38.0,1.0
2020-03-16,Albania,4.0,0.0,42.0,1.0
2020-02-26,Algeria,0.0,0.0,1.0,0.0
2020-02-27,Algeria,0.0,0.0,1.0,0.0
2020-02-28,Algeria,0.0,0.0,1.0,0.0
2020-02-29,Algeria,0.0,0.0,1.0,0.0
2020-03-01,Algeria,0.0,0.0,1.0,0.0
2020-03-02,Algeria,0.0,0.0,1.0,0.0
2020-03-03,Algeria,4.0,0.0,5.0,0.0
2020-03-04,Algeria,0.0,0.0,5.0,0.0
2020-03-05,Algeria,7.0,0.0,12.0,0.0
2020-03-06,Algeria,0.0,0.0,12.0,0.0
2020-03-07,Algeria,5.0,0.0,17.0,0.0
2020-03-08,Algeria,0.0,0.0,17.0,0.0
2020-03-09,Algeria,3.0,0.0,20.0,0.0
2020-03-10,Algeria,0.0,0.0,20.0,0.0
2020-03-11,Algeria,0.0,0.0,20.0,0.0
2020-03-12,Algeria,5.0,0.0,25.0,1.0
2020-03-13,Algeria,0.0,0.0,25.0,1.0
2020-03-14,Algeria,1.0,1.0,26.0,2.0
2020-03-15,Algeria,11.0,1.0,37.0,3.0
2020-03-16,Algeria,12.0,0.0,49.0,3.0
2020-03-03,Andorra,0.0,0.0,1.0,0.0
2020-03-04,Andorra,0.0,0.0,1.0,0.0
2020-03-05,Andorra,0.0,0.0,1.0,0.0
2020-03-06,Andorra,0.0,0.0,1.0,0.0
2020-03-07,Andorra,0.0,0.0,1.0,0.0
2020-03-08,Andorra,0.0,0.0,1.0,0.0
2020-03-09,Andorra,0.0,0.0,1.0,0.0
2020-03-10,Andorra,0.0,0.0,1.0,0.0
2020-03-11,Andorra,0.0,0.0,1.0,0.0
2020-03-12,Andorra,0.0,0.0,1.0,0.0
2020-03-13,Andorra,0.0,0.0,1.0,0.0
2020-03-14,Andorra,1.0,0.0,2.0,0.0
2020-03-15,Andorra,0.0,0.0,2.0,0.0
2020-03-16,Andorra,0.0,0.0,2.0,0.0
2020-03-14,Antigua and Barbuda,0.0,0.0,1.0,0.0
2020-03-15,Antigua and Barbuda,0.0,0.0,1.0,0.0
2020-03-16,Antigua and Barbuda,0.0,0.0,1.0,0.0
2020-03-04,Argentina,0.0,0.0,1.0,0.0
2020-03-05,Argentina,0.0,0.0,1.0,0.0
2020-03-06,Argentina,0.0,0.0,1.0,0.0
2020-03-07,Argentina,1.0,0.0,2.0,0.0
2020-03-08,Argentina,7.0,0.0,9.0,1.0
2020-03-09,Argentina,3.0,0.0,12.0,1.0
2020-03-10,Argentina,0.0,0.0,12.0,1.0
2020-03-11,Argentina,5.0,0.0,17.0,1.0
2020-03-12,Argentina,2.0,0.0,19.0,1.0
2020-03-13,Argentina,12.0,0.0,31.0,1.0
2020-03-14,Argentina,3.0,1.0,34.0,2.0
2020-03-15,Argentina,11.0,0.0,45.0,2.0
2020-03-16,Argentina,11.0,0.0,56.0,2.0
2020-03-02,Armenia,0.0,0.0,1.0,0.0
2020-03-03,Armenia,0.0,0.0,1.0,0.0
2020-03-04,Armenia,0.0,0.0,1.0,0.0
2020-03-05,Armenia,0.0,0.0,1.0,0.0
2020-03-06,Armenia,0.0,0.0,1.0,0.0
2020-03-07,Armenia,0.0,0.0,1.0,0.0
2020-03-08,Armenia,0.0,0.0,1.0,0.0
2020-03-09,Armenia,0.0,0.0,1.0,0.0
2020-03-10,Armenia,0.0,0.0,1.0,0.0
2020-03-11,Armenia,0.0,0.0,1.0,0.0
2020-03-12,Armenia,0.0,0.0,1.0,0.0
2020-03-13,Armenia,0.0,0.0,1.0,0.0
2020-03-14,Armenia,7.0,0.0,8.0,0.0
2020-03-15,Armenia,0.0,0.0,8.0,0.0
2020-03-16,Armenia,18.0,0.0,26.0,0.0
2020-01-25,Australia,0.0,0.0,3.0,0.0
